"Id"|"Name"|"SWF"|"CategoryId"|"Price"|"SkinId"|"Filename"|"Vip"|"Discount"|"ThemeID"|"DiamondsPrice"|"AvailableUntil"|"ColorScheme"|"CategoryId1"|"CategoryName"|"SlotTypeId"
"19667"|"Black Denim"|"country_2018_male_mf"|"2"|"0"|"2"|""|"0"|"0"|"602"|"4"|""|"defaultcolor=defaultcolor,0x353535,Denim;colors=color2,0xffffff,Leather:color3,0x1E1E1E,Leather"|"2"|"Shirts"|"2"
"19666"|"Bowler Shirt"|"country_2018_male3_mf"|"2"|"425"|"2"|""|"0"|"0"|"602"|"0"|""|"defaultcolor=defaultcolor,0x1A1C27,Denim;colors=color2,0xffffff,Leather:color3,0xD71717,Leather:color4,0xC9C9C9,Leather"|"2"|"Shirts"|"2"
"19665"|"Country Feels"|"country_2018_aviators_fj"|"27"|"175"|"1"|""|"0"|"0"|"602"|"0"|""|"defaultcolor=defaultcolor,0x666666,Color;colors=color2,0xFFCC00,Glasses"|"27"|"Glasses"|"7"
"19664"|"Country Feels"|"country_2018_aviatorsboy_fj"|"27"|"175"|"2"|""|"2"|"0"|"602"|"0"|""|"defaultcolor=defaultcolor,0xcdcbcc,Color;colors=color2,0xc74df8,Glasses"|"27"|"Glasses"|"7"
"19663"|"Bolo Tie"|"country_2018_tie_mf"|"45"|"350"|"0"|""|"0"|"0"|"602"|"0"|""|"defaultcolor=defaultcolor,0x4D3529z,Denim;colors=color2,0xD1D6D7,Leather"|"45"|"SCARF"|"27"
"19662"|"Perfect For You"|"country_2018_chelsea_fj"|"10"|"275"|"0"|""|"0"|"0"|"602"|"0"|""|"defaultcolor=defaultcolor,0x333333,Main;colors=color2,0xC9C9C9,Sole"|"10"|"Shoes"|"5"
"19661"|"Bling It Up!"|"country_2018_blingskirt_fj"|"3"|"0"|"1"|""|"0"|"0"|"602"|"4"|""|"defaultcolor=defaultcolor,0xCFDDE7,Denim"|"3"|"Trousers"|"3"
"19660"|"Fierce Fringes"|"country_2018_leatherskirt_fj"|"3"|"500"|"1"|""|"2"|"0"|"602"|"0"|""|"defaultcolor=defaultcolor,0xffacea,Denim"|"3"|"Trousers"|"3"
"19658"|"Wild Spirit Animal"|"country_2018_leoskirt_fj"|"3"|"475"|"1"|""|"0"|"0"|"602"|"0"|""|"defaultcolor=defaultcolor,0xECC699,Denim;colors=color2,0xBB8856,baseprint:color3,0x382621,baseprint"|"3"|"Trousers"|"3"
"19657"|"Country Slick"|"country_2018_hair_mf"|"1"|"400"|"2"|""|"0"|"0"|"602"|"0"|""|"defaultcolor=defaultcolor,0x3F2119,Denim"|"1"|"Hair"|"1"
"19656"|"We Just Wanna Party"|"country_2018_afrobeard_fj"|"1"|"675"|"2"|""|"0"|"0"|"602"|"0"|""|"defaultcolor=defaultcolor,0x2C231F,Denim;colors=color2,0x352E29,Leather"|"1"|"Hair"|"1"
"19652"|"All Country "|"country_2018_hair_lsz"|"1"|"550"|"1"|""|"0"|"0"|"602"|"0"|""|"defaultcolor=defaultcolor,0xeec194,Denim"|"1"|"Hair"|"1"
"19651"|"Western Vibes"|"country_2018_hatboy_fj"|"1"|"0"|"2"|""|"0"|"0"|"602"|"5"|""|"defaultcolor=defaultcolor,0x8A6257,Denim;colors=color2,0x3F3B3B,Leather:color3,0x191925,Leather:color4,0xD0D0D0,Leather"|"1"|"Hair"|"1"
"19650"|"Western Love"|"country_2018_hatgirl_fj"|"1"|"0"|"1"|""|"0"|"0"|"602"|"5"|""|"defaultcolor=defaultcolor,0xFFF7F0,Denim;colors=color2,0x3F3B3B,Leather:color3,0x191925,Leather:color4,0xD0D0D0,Leather"|"1"|"Hair"|"1"
"19649"|"Double Chain"|"country_2018_necklaceboy_asj"|"45"|"250"|"2"|""|"2"|"0"|"602"|"0"|""|"defaultcolor=defaultcolor,0xDB9A4A,Denim"|"45"|"SCARF"|"27"
"19648"|"Lucky"|"country_2018_luckygirl_fj"|"2"|"275"|"1"|""|"0"|"0"|"602"|"0"|""|"defaultcolor=defaultcolor,0x332D2D,Denim;colors=color2,0xECECEC,baseprint"|"2"|"Shirts"|"2"
